연번,동,지번 주소,도로명 주소,관리번호
1,내곡동,1-353,신흥말길 68,D-35
2,내곡동,166,능안말2길 13,D-****
3,신원동,265,청계산로15길77,D-59
4,신원동,13-2,새정2길 3,D-50
5,신원동,9-28,새정1길 11,D-56
6,반포1동,701-33,주흥17길 23-5,C-05(B-37)
7,반포1동,709-5,사평대로53길 110,C-08(B-39)
8,반포1동,728-47,주흥길 31 ,C-03(B-41)
9,반포1동,728-6,주흥7길10-36,C-04(B-42)
10,반포1동,730,주흥3길 34,C-06(B-44)
11,반포1동,743-23,주흥5길 19 ,C-01(B-43)
12,반포4동,100-8,사평대로20길 99,C-57(B-9)
13,반포4동,101-7,사평대로22길 96 ,C-53(B-10)
14,반포4동,612-110,사평대로14길 32 ,C-51(B-11)
15,반포4동,612-57,서래로5길 97,C-54(B-12)
16,반포4동,74-7,사평대로28길 70 ,C-49(B-13)
17,반포4동,76-7,서래로4길 29 ,C-52(B-14)
18,반포4동,81-10,서래로2길 58 ,C-62(B-15)
19,반포4동,83-4,동광로49길 23 ,C-48(B-16)
20,반포4동,84-13,동광로47길 7,C-58(B-17)
21,방배1동,143-10,방배로20길 25-27 ,B-21(B-46)
22,방배1동,321-4,방배로19길 36-16 ,B-06(B-48)
23,방배1동,889-4,서초대로34가길 43 ,B-25(B-51)
24,방배1동,890-8,서초대로34가길 36 ,B-20(B-52)
25,방배1동,883-20,서초대로32길23,B-24(B-64)
26,방배1동,883-28,서초대로34길 13,B-58(B-65)
27,방배1동,902-14,방배로18길 13-16,B-01(B-66)
28,방배1동,3279,서초대로34가길 52,B-13(B-47)
29,방배1동,906-2,효령로33길 70,B-47(B-62)
30,방배1동,911-12,방배로11길 8,B-02(B-56)
31,방배1동,915-16,방배로11길 35,B-09(B-57)
32,방배1동,919-13,효령로23길 49,B-10(B-58) 
33,방배1동,922-18,효령로29길 43,B-03(B-55)
34,방배1동,920-28,효령로23길 40,B-18(B-59)
35,방배1동,927-13,효령로27길 74 ,B-04(B-61)
36,방배1동,929-4,효령로23길 82 ,B-08(B-60)
37,방배1동,939-20,방배로23길 46 ,B-46(B-49)
38,방배1동,935-20,방배로19길 14,B-16(B-54)
39,방배1동,935-18,서초대로22길 41 ,B-17(B-53)
40,방배1동,906-11,방배로18길 24-18,B-27(B-68)
41,방배1동,141-32,서초대로30길 9,B-63
42,방배1동,941-17,방배로23길 62 ,B-19(B-50)
43,방배2동,979-13,효령로21길 7,B-61(C-66)
44,방배2동,2732-34,전원말안1길10,B-28(C-68)
45,방배2동,2739-16,전원말안길 21 ,B-59(C-67)
46,방배2동,2755-18,전원말8길 16 ,B-22(C-70)
47,방배2동,433-1,도구로9길 15 ,B-38(C-35)
48,방배2동,451-1,방배천로4안길26 건너,B-40(C-29)
49,방배2동,456-11,방배천로2안길91,B-07(C-27)
50,방배2동,456-2,방배천로4안길84,B-34(C-28)
51,방배2동,422-3,방배천로24길 19,B-35(C-24)
52,방배2동,464-12,방배천로8길 36 ,B-33(C-26)
53,방배2동,465-31,방배천로6길33-2,B-32(C-30)
54,방배2동,469-2,효령로5길 25-10,B-67(C-31)
55,방배2동,474-1,청두곶길8길 3,B-36(C-25)
56,방배2동,474-19,청두곶길6길 30,B-50(C-33)
57,방배2동,4호선 1번출구,과쳔대로 지하816,B-23(C-69)
58,방배2동,528,도구로1길 33,B-49(C-32)
59,방배2동,954-1,서초대로4길 23 ,B-37(C-21)
60,방배2동,954-14,서초대로4길 45 ,B-44(C-22)
61,방배2동,954-22,도구로 79,B-39(C-20)
62,방배2동,956-1,청두곶길72,B-14(C-23)
63,방배2동,964-11,효령로21길 60 ,B-54(C-17)
64,방배2동,971-1,도구로 47,B-15(C-19)
65,방배2동,975-6,효령로19길 51 ,B-52(C-16)
66,방배2동,976-24,방배중앙로3길 24 ,B-53(C-15)
67,방배2동,979-35,효령로19길 8,B-51(C-14)
68,방배3동,1000-4,남부순환로309길 38,B-26(C-11)
69,방배3동,1021-24,방배로8길 10-31,B-75(C-12)
70,방배3동,987-9,효령로34길 45-1,B-74(C-10)
71,방배3동,480-1,효령로4길 24,B-56(C-5)
72,방배3동,530-71,효령로4길 53,B-41(C-43)
73,방배3동,530-107,효령로12길 12 ,B-29(C-41)
74,방배3동,530-89,효령로 12길 28,B-68(C-42)
75,방배3동,537-21,효령로16길 8,B-30(C-8)
76,방배3동,537-27,효령로14길 13 ,B-65(C-40)
77,방배3동,537-50,효령로 14다길 21,B-63(C-7)
78,방배3동,539-140,효령로 18길 19,B-48(C-6)
79,방배3동,539-37,효령로20길 27 ,B-55(C-36)
80,방배3동,539-74,효령로20길 38 ,B-64(C-37)
81,방배3동,541-131,효령로14길 30,B-66(C-39)
82,방배3동,541-67,효령로20라길 10 ,B-62(C-38)
83,방배3동,593-100,남부순환로297길 12 ,B-70(C-1)
84,방배3동,593-11,남부순환로297라길16,B-43(C-4)
85,방배3동,593-70,남부순환로297가길 26 ,B-71(C-3)
86,방배3동,593-74,남부순환로297가길 9-26,B-72(C-2)
87,방배3동,981-54,효령로28길 7,B-45(C-44)
88,방배3동,983-13,방배로10길 10-28,B-60(C-13)
89,방배3동,987-7,효령로36길 40,B-73(C-9)
90,방배4동,804-11,방배로32길61,C-69(C-56)
91,방배4동,807-16,방배로 34길35,C-17(C-57)
92,방배4동,821-7,방배천로 153,C-66(C-62)
93,방배4동,822-15,동광로10길 11-8,C-18(C-65)
94,방배4동,822-15,동광로10길 11-8,C-61(C-64)
95,방배4동,825-12,동광로4길 15,C-16(C-63)
96,방배4동,827-19,동광로12길 52 앞,C-75(C-71)
97,방배4동,831-11,서초대로15길 65 ,C-63(C-59)
98,방배4동,838-1,서초대로 25길80,C-70(C-46)
99,방배4동,840-01,방배로 24길45 ,C-59(C-47)
100,방배4동,840-28,서초대로33길 63 ,C-65(C-49)
101,방배4동,844-22,동광로30길 42,C-19(C-53)
102,방배4동,845-9,방배로 30길95,C-64(C-54)
103,방배4동,847-17,방배로26길71,C-68(C-52)
104,방배4동,854-4,서초대로19길46,C-15(C-58)
105,방배4동,866-24,방배천로26길 16,C-20(C-61)
106,방배4동,869-17,서초대로15길 9,C-60
107,방배4동,870-32,서초대로19길 11,C-72
108,방배4동,878-32,서초대로 33길33,C-71(C-50)
109,방배4동,882-01,서초대로33길 12-4 ,C-73(C-51)
110,방배본동,12,방배로40길 31,C-37(B-19)
111,방배본동,1-119,동광로27길 60,C-33(B-20)
112,방배본동,1-17,동광로27길 25,C-32(B-21)
113,방배본동,12-35,사평대로6길 72-12 ,C-34(B-25)
114,방배본동,12-63,방배로40길 15-23 ,C-35(B-24)
115,방배본동,732,동광로27길 120 ,C-39(B-22)
116,방배본동,756-7,사평대로2길 19-19 ,C-31(B-28)
117,방배본동,762-3,동광로11길 111,C-24(B-26)
118,방배본동,764,사평대로6길 44 ,C-38(B-23)
119,방배본동,768-16,동광로11길 68,C-**(B-29)
120,방배본동,769-19,방배로39길 42 ,C-29(B-30)
121,방배본동,769-2,방배로43길 37,C-30(B-27)
122,방배본동,781-37,동광로3길 61,C-22(B-35)
123,방배본동,784-16,방배중앙로21길 42 ,C-21(B-36)
124,방배본동,789-1,동광로7길 28,C-26(B-34)
125,방배본동,789-38,동광로7길 6,C-27(B-33)
126,방배본동,792-23,동광로 15길7,C-23(B-32)
127,방배본동,794-1,방배로37길 35 ,C-36(B-31)
128,서초1동,1428-15,남부순환로337길 37 ,A-08
129,서초1동,1429-1,남부순환로333길 20,A-07
130,서초1동,1432-4,남부순환로337가길 1,A-06
131,서초1동,1438-15,효령로66길 11,A-10
132,서초1동,1610-20,효령로67길 49-2,A-64
133,서초1동,1617-26,서리풀2길 20,A-44
134,서초1동,1617-41,서리풀길 8,A-03
135,서초1동,1617-1,서리풀길 16 ,A-02
136,서초1동,1618-57,사임당로18길 45,A-19
137,서초1동,1618-66,서초중앙로8길 63,A-14
138,서초1동,1619-10,사임당로12길 41 ,A-13
139,서초1동,1614-25,서리풀4길33-3,A-15
140,서초1동,1622-13,사임당로10길 25 ,A-16
141,서초1동,1629-17,서리풀길 25 ,A-20
142,서초1동,1631-8,효령로67길 71-6,A-11
143,서초1동,1636-1,서초대로64길 31 ,A-25
144,서초1동,1641-7,사임당로23길 43,A-30
145,서초1동,1642-4,사임당로17길 56 ,A-27
146,서초1동,1643-13,사임당로19길 28-3,A-23-1(A-28)
147,서초1동,1643-31,사임당로19길 72-4,A-26
148,서초1동,1659-19,서초중앙로20길 33-6,A-29
149,서초1동,1665-28,서초중앙로18길 23 ,A-24(A-23)
150,서초1동,1668-1,서초중앙로22길 78,A-35(A-24)
151,서초1동,1668-12,사임당로17길 113,A-18(A-25)
152,서초1동,1679-6,서초대로64길 13 ,A-17(A-26)
153,서초1동,1432-23,남부순환로339길 23 ,A-50(A-34)
154,서초1동,1435-18,남부순환로337가길 69 ,A-62(A-35)
155,서초2동,1350,서운로11길 78 ,A-****(A-27)
156,서초2동,1344-29,효령로72길 33 ,A-56(A-28)
157,서초2동,1349-21,서운로9길 34 ,A-****(A-30)
158,서초2동,1341-9,강남대로47길 30,A-33
159,서초2동,1360-24,강남대로41길 15-14 ,A-61(A-32)
160,서초2동,1357-48,강남대로45길 17-2,A-****(A-31)
161,서초3동, 1518-1 ,명달로20길 25 앞,A-36(A-45)
162,서초3동,1514-6,명달로20길 25 앞,A-41(A-46)
163,서초3동,1451-33,효령로52길 23,A-04(A-36)
164,서초3동,1451-66,남부순환로323길 37,A-72(A-37)
165,서초3동,1451-76,반포대로4길 13,A-05(A-38)
166,서초3동,1466-4,명달로4길 82,A-52(A-54)
167,서초3동,1467-70,남부순환로315길 31,A-09(A-68)
168,서초3동,1469-6,명달로4길 46,A-33(A-59)
169,서초3동,1487-63,명달로6길 31,A-53(A-67)
170,서초3동,1475-1,반포대로7길 25,A-75(A-56)
171,서초3동,1479-15,반포대로9길 59-20,A-54(A-57)
172,서초3동,1487-139,명달로6길 8,A-55(A-60)
173,서초3동,1487-19,효령로40길 13 ,A-32(A-63)
174,서초3동,1475-3,반포대로7길 17,A-34(A-65)
175,서초3동,1506-37,반포대로23길 37,A-42(A-52)
176,서초3동,1507-30,명달로26길 32 ,A-38(A-61)
177,서초3동,1517-6,명달로16길 17-5,A-37(A-62)
178,서초3동,1507-60,명달로22길 29 ,A-40(A-55)
179,서초3동,1508-44,명달로22길 53 ,A-39(A-53)
180,서초3동,1508-9,명달로22길 73 ,A-48(A-64)
181,서초3동,1512-9,명달로22길 44-9,A-45(A-48)
182,서초3동,1519-8,명달로16길 47 ,A-73(A-49)
183,서초3동,1522-8,반포대로21길 79,A-59(A-47)
184,서초3동,1523-9,반포대로21길 43,A-43
185,서초3동,1530-9,효령로45길 24 ,A-46(A-50)
186,서초3동,1532-10,효령로47길 11,A-71(A-51)
187,서초3동,1546-5,반포대로24길 42-23,A-31(A-39)
188,서초3동,1547-15,반포대로24길 42-4,A-49(A-40)
189,서초3동,1561-1,반포대로24길 41-14 ,A-47(A-41)
190,서초3동,1565-18,서초대로48길 91 ,A-21(A-42)
191,서초3동,1566-12,서초대로48길 77,A-23-2(A-43)
192,서초3동,1567-1,서초대로48길 59 ,A-22(A-44)
193,양재1동,10-13,강남대로34길 18 ,D-18
194,양재1동,10-41,남부순환로350길 75 ,D-19
195,양재1동,104-4,바우뫼로20길 19 ,D-28
196,양재1동,106-9,양재천로7길 23 ,D-27
197,양재1동,116-6,양재천로3길 2,D-32
198,양재1동,17-35,바우뫼로39길 39,D-16
199,양재1동,10-41,남부순환로 356길 95-3,D-03
200,양재1동,18-16,바우뫼로39길 36 ,D-04
201,양재1동,18-18,바우뫼로 41길 21 ,D-06
202,양재1동,18-18,바우뫼로 41길21 ,D-05
203,양재1동,18-9,바우뫼로41길 39,D-07
204,양재1동,20-15,바우뫼로35길 10-3,D-21
205,양재1동,20-18,바우뫼로35길 18,D-20
206,양재1동,2-17,남부순환로364길 16,D-02
207,양재1동,3-12,바우뫼로43길 40,D-09
208,양재1동,44,강남대로27길 38,D-31
209,양재1동,5-20,바우뫼로37길 5,D-22
210,양재1동,58-2,강남대로27길 62,D-30
211,양재1동,46-4,강남대로27길 14 ,D-33
212,양재1동,70-4,바우뫼로27길 7-17 건너편,D-29
213,양재1동,7-26,바우뫼로41길 72-23,D-10
214,양재1동,7-9,남부순환로358길 60,D-11
215,양재1동,8-15,남부순환로358길 34,D-17
216,양재1동,82-18,논현로27길 74,D-23
217,양재1동,8-35,바우뫼로39길 88-11 ,D-13
218,양재1동,8-42,바우뫼로39길 85 ,D-12
219,양재1동,4-5,바우뫼로43길 7,D-15
220,양재1동,73-2,바우뫼로23길 20-5,D-24
221,양재2동,206-4,매헌로8길 39,D-01
222,양재2동,248-4,마방로2길 15-22 ,D-65
223,양재2동,379-3,동산로12길 13-16,D-41
224,양재2동,278-5,언남19길 5,D-44
225,양재2동,280-4,언남 18길 16,D-42
226,양재2동,287-12,논현로 11길 16-20,D-45
227,양재2동,292,언남10길 27 ,D-40
228,양재2동,250,마방로4길 18,D-36
229,양재2동,294-2,언남12길 29-7,D-38
230,양재2동,299,언남16길 32,D-60
231,양재2동,300-9,언남16길 47 ,D-37
232,양재2동,302-5,언남12길 19-15 ,D-39
233,양재2동,313-12,강남대로18길 16-1,D-66
234,양재2동,317-4,강남대로12길 15,D-64
235,양재2동,281-5,언남20길 20,D-43
236,양재2동,347-11,강남대로8길 24-3,D-62
237,양재2동,356-1,강남대로6길 52-4,D-61
238,양재2동,356-4,강남대로6길 52-12,D-63
239,양재2동,379-1,동산로12길 13-8,D-55
240,양재2동,380-1,강남대로6길 133-3,D-25
241,양재2동,391-10,동산로14길 27,D-53
242,양재2동,391-17,동산로14길 7 ,D-54
243,양재2동,392-21,동산로16길 7,D-52
244,양재2동,393-2,논현로 21,D-46
245,양재2동,396-1,논현로5길 24-17 ,D-48
246,양재2동,397-5,논현로5길 32-5 ,D-51
247,양재2동,399,논현로5길 29,D-57
248,양재2동,400-13,논현로5길 21 ,D-49
249,염곡동,133-1,염곡말길 35,D-58
250,염곡동,106-7,염곡말길 19 ,D-67
251,염곡동,39-1,염곡안 3길 21,D-47
252,염곡동,117-6,염곡안길 39 ,D-70
253,염곡동,142,염곡안3길 11 ,D-69
254,염곡동,85-1,염곡안1길 3,D-71
255,우면동,10,바우뫼로2길 41-3,D-75
256,우면동,205-1,성촌길95,D-34
257,우면동,210-2,형촌10길 4,D-74
258,우면동,29-11,바우뫼로11길 28,D-14
259,우면동,29-20,바우뫼로11안길 2,D-26
260,우면동,35-19,바우뫼로9길 26,D-73
261,우면동,5-4,바우뫼로6길 32-14,D-08
262,잠원동,10-34,강남대로109길 73-6,C-41(B-1)
263,잠원동,15-2,강남대로101안길 37,C-28(B-2)
264,잠원동,23-18,강남대로97길 48 ,C-42(B-3)
265,잠원동,44-1,신반포로41길 32,C-44(B-7)
266,잠원동,45-10,신반포로43길 21,C-46(B-8)
