연번,주           소,아파트 명,위                    치 ,보유 수량
1,중랑구 망우로 203,동양엔파트 1차 ,"지하1층, 지하2층2 재활용장 앞",2
2,중랑구 중랑천로 14길 34,동양엔파트 2차,201동 지하 주창장 입구 왼쪽,1
3,중랑구 망우로 223-8,미영리치타운,"경비실 앞, 지상주차장 자전거 거치대 옆",1
4,중랑구 동일로 121길 20,세광 하니타운,다동 후문 (로열스포츠 뒤),1
5,중랑구 중랑역로 72,동구 햇살,쓰레기 선별장 (태능시장 오거리),1
6,중랑구 동일로 129길 35,태능에셈빌,1층 로비 안 지하 계단 앞 (태능시장 오거리),1
7,중랑구 동일로 149길 15,우성 아파트,정문 입구 (옛 중랑경찰서),1
8,중랑구 중랑역로 124,중화 삼익,103동 (우성아파트 아랫쪽),1
9,중랑구 동일로 752,중화 한신,"관리실, 103동, 104동 현관 입구, 6동 앞(초소 뒤)",4
10,중랑구 동일로 754,우성타운,정문 입구 (중화 한신 옆),1
11,중랑구 봉화산로 27길 32,중화 극동,정문 입구 (중화역),1
12,중랑구 동일로 136길 15,청광플러스원,쓰레기 선별장 (중화역 2번출구),1
13,중랑구 동일로 140길 88,중화 건영,쓰레기 선별장,1
14,중랑구 동일로 144길 3 ,장미 아파트,재활용장 옆 (농협 뒤),1
15,중랑구 봉화산로 27길 37,장미 빌라,경비실 (중화역 휴게실 옆),1
16,중랑구 숙선옹주로 85,신내 4단지,"401동, 404동~405동 사이(2), 409동",4
17,중랑구 신내로 21길 16,"신내 5단지(두산, 대림)","3호 경비실, 10호 경비실, 12호 경비실",3
18,중랑구 신내로 17길 83,신내 6단지(시영),"1동, 4~5동, 7동, 8~9동, 12동, 15동",6
19,중랑구 신내로 17길 39,신내 7단지 (진로),"701동, 704동, 706동, 713동, 716동 분리수거장 옆",5
20,중랑구 신내로 155,"신내 8단지(두성, 화성)","801동 경비실 옆, 803동, 806동 쓰레기 분리장",3
21,중랑구 신내로 135,신내 9단지,"관리실(2), 8동 1층 현관(종이 BOX)",3
22,중랑구 신내로 115,신내 10단지,"1002동, 1003동, 1004동, 1005동, 1006동, 1007동 쓰레기 선별장",6
23,중랑구 봉화산로 189,신내 11단지(신내 대명),"1101동, 1102동, 1103동, 1105동, 1106동 쓰레기 선별장",5
24,중랑구 봉화산로 153,신내 12단지,"1동, 5동, 7동 쓰레기 선별장",3
25,중랑구 봉화산로 194,신아타운,건물 뒤쪽 주차장 옆,1
26,중랑구 신내로 51,신내 성원상떼빌,"101동 앞 지하주차장 입구, 쓰레기 선별장",2
27,중랑구 신내로 211,금강 리빙스텔,건물 입구와 공영 주차장 입구 (봉화산역),1
28,중랑구 신내로 225,디아뜨 갤러리,지하 1층 재활용 선별장 왼쪽 (봉화산역),1
29,중랑구 용마산로 669,신내 데시앙,"101동,103동,104동,106동,108동,109동,110동,111동,114동,115동",10
30,중랑구 신내로 126,"신내 동성 1,2차","관리실(6동 앞), 1~9동 사이 화단, 8동 옆 경비휴게실 앞",3
31,중랑구 신내로 112,신내 동성 3차,"12동, 13동, 14동, 16동, 관리사무소",5
32,중랑구 봉화산로 233-12,신내 동성5차,501동,1
33,중랑구 봉화산로 221,동성타워 프라자,후문 출구 옆,1
34,중랑구 봉화산로 216,신내 동성4차,음식물 선별장,1
35,중랑구 신내로 14길 21,신내 동성 7차,입구,1
36,중랑구 봉화산로 220,원당 아파트,아파트 단지 내,1
37,중랑구 봉화산로 56길 112,신내 경남아너스빌,103동 쓰레기 선별장,1
38,중랑구 봉화산로 56길 140,대성 유니드,관리실,1
39,중랑구 봉화산로 56길 123,신내 중앙하이츠,"1동, 2동, 4동, 5동",4
40,중랑구 용마산로 129 나길 101,신내 라이프 미성,정문 입구(경비실 옆),1
41,중랑구 용마산로 129 가길 41,영풍마드레빌,경비실 옆(창구 문 안?V),1
42,중랑구 용마산로 125길 50,신내 벽산,101동,1
43,중랑구 봉화산로 56길 51,신내 우남프르미아,쓰레기 선별장 (신내1동 주민센터),1
44,중랑구 봉화산로 56길 73,경원 아파트,정문 입구 (신내1동 주민센터),1
45,중랑구 용마산로 125길 92,신내 석탑,101동,1
46,중랑구 용마산로 616,신내 새한,103동,1
47,중랑구 봉화산로 48길 62,신내 건영 1차 ,"101동, 102동 쓰레기 선별장",2
48,중랑구 신내로 7나길 24,신내 건영 2차,"202동 경비실 뒤, 209동 앞 각 쓰레기 선별장",2
49,중랑구 봉화산로 130,"신내 LG, 쌍용","쌍용 정문, 3동 경비실, 9동 앞",3
50,중랑구 봉화산로 48길 62,상봉 건영 캐스빌,"4동, 5동, 9동 음식물 종량제 수거함 옆",3
51,중랑구 상봉중앙로 8길 104,태영 데시앙,"1404동, 1407동 건물 안, 1411동",3
52,중랑구 망우로 353,상봉 프레미어스엠코,"A동, B동, C동 재활용 선별장(건물 출입구 안쪽)+안내데스크 우편함",3
53,중랑구 송림길 16,신내 다우훼밀리,101동 (망우역),1
54,중랑구 용마산로 117길 8,동광 오뜨빌,관리실 (망우본동 주민센터 건너편),1
55,중랑구 망우로 65길 7,서울 마트,서울 마트 오른쪽,1
56,중랑구 용마산로 115길 109 ,한일 써너스빌 리젠시,"101동, 201동 지하 1층 ",2
57,중랑구 망우로 60길 37,상봉 써너스빌 에코오피스텔,쓰레기 선별장,1
58,중랑구 봉우재로 57길 47,문수 해오름 아파트,지상 2층 주차장 (상봉 이마트 옆),1
59,중랑구 상봉로 26길 29,가야 써니빌,음식물 선별장 (상봉 이마트 옆),1
60,중랑구 망우동 346,한일 써너스빌,103동 오른쪽 화단 안쪽 ,1
61,중랑구 상봉로 131,상봉 듀오트리스,지하 7층 ,1
62,중랑구 상봉중앙로 1길 54,우정,101동(관리실)  ,1
63,중랑구 신내로 7가길 53,동부,아파트 후문,1
64,중랑구 동일로 157길 70,묵동 아이파크,"102동 음식물 선별장, 105동 초소, 108동 초소",3
65,중랑구 동일로 157길 59,묵동 세원,101동 학교 옆,1
66,중랑구 묵2동 378,묵동 한국,정문 경비실,1
67,중랑구 동일로 941,극동 늘푸른,101동 (먹골역),1
68,중랑구 동일로 169길 41,묵동 동구햇살,101동 왼쪽 창고 안,1
69,중랑구 중랑천로 316,월드 메르디앙,경비실 뒤 건물 안,1
70,중랑구 공릉로 18길 59,브라운스톤 태능,쓰레기 선별장,1
71,중랑구 숙선옹주로 45,e편한세상 화랑대,"101동,103동,104동,106동,110동,111동,112동 쓰레기 선별장",7
72,중랑구 중랑역로 279,묵동 삼성 아파트,쓰레기 선별장,1
73,중랑구 숙선옹주로 9길 25,묵동 세방,102동 건물안 쓰레기 선별장,1
74,중랑구 숙선옹주로 6-9,묵동 자이 1단지,3층 쓰레기 선별장,1
75,중랑구 동일로 932,묵동 자이 2단지,"201동 5층, 202동 4층 쓰레기 선별장",2
76,중랑구 동일로 946,묵동 신도,묵동 자이 옆(지하 주차장 입구),1
77,중랑구 공릉로 2길 47,묵동 신안 1차,쓰레기 선별장,1
78,중랑구 공릉로 2나길 44,묵동 신안 2차,쓰레기 선별장,1
79,중랑구 공릉로 2라길 4,묵동 신안 3차 ,경비실,1
80,중랑구 공릉로 2나길 32-12,SM 해그린,쓰레기 선별장 ,1
81,중랑구 공릉로 2라길 36,현대 빌라,쓰레기 선별장 (묵동 신안3차 옆),1
82,중랑구 공릉로 13길 30,묵동 신도 1차 ,"101동 경비실, 102동 경비실 뒤(후문)",2
83,중랑구 공릉로 13길 30,묵동 신도 2차,건물 안쪽 쓰레기 선별장,1
84,중랑구 공릉로 2길 39,금호 어울림,경비실,1
85,중랑구 공릉로 32,묵동 공감대 ,경비실 뒤,1
86,중랑구 신내로 277,묵동 리본타워,관리사무소 앞 (화랑대역),1
87,중랑구 겸재로 30길 42,면목 마젤란21,"101동, 102동 건물 안",2
88,중랑구 사가정로 41길 59,동원 베네스트,101동과 102동 사이 창고 안쪽,1
89,중랑구 겸재로 29길 27,면목 아남 리치카운티,103동 건물 안 쓰레기 선별장,1
90,중랑구 사가정로 41길 9,면목 두산 1차,101동 경비실 옆,1
91,중랑구 면목로 37길 58,"면목 두산 2, 3차","202동, 301동",2
92,중랑구 사가정로 42길 90,"면목 두산 4, 5차","1초소(404동), 2초소 뒤 (502동) ",2
93,중랑구 답십리로 77길 139,면목 두산 6차,601동,1
94,중랑구 동일로 557,면목 신우,101동,1
95,중랑구 동일로 501,면목 삼익,103동,1
96,중랑구 동일로 483,면목 두원,경비실 ,1
97,중랑구 동일로 476,면목 늘푸른 동아,"1초소, 3초소 (101동, 104동)",2
98,중랑구 답십리로 75길 73,경남 아너스빌,"101동, 102동, 103동, 107동",4
99,중랑구 용마산로 285,대원 칸타빌,"101동, 102동 사이 쓰레기 선별장",2
100,중랑구 용마산로 271,면목 금호 어울림,"102동, 103동 건물 안쪽",2
101,중랑구 용마산로 259,면목 삼호,101동 건물 뒷쪽 ,1
102,중랑구 용마산로 112가길 34,예성 아파트,101동 음식물 선별장 (망우본동 삼룡사 옆),1
103,중랑구 용마산로 94다길 21,면목 라이프미성,경비실,1
104,중랑구 용마산로 94길 101,완성빌라,경비실 (망우3동 면일초교 뒤쪽),1
105,중랑구 용마산로 94길 91,면목 진로 아파트,정문 입구,1
106,중랑구 용마산로 86길 9-27,신성 미소지움 1차 ,"101동 1,2호 입구",1
107,중랑구 용마산로 86길 9-14,신성 미소지움 2차,201동,1
108,중랑구 용마산로 84길 9-15,온세 솔내음,지하 주차장,1
109,중랑구 용마산로 348,용마 금호타운,2동 ,1
110,중랑구 사가정로 71길 19,용마 한신 1차,1동 앞 상가 오른쪽 ,1
111,중랑구 사가정로 71길 19,용마 한신 2차,101동 ,1
112,중랑구 용마산로62길 43,용마 동아,102동 경비실 옆,1
113,중랑구 용마산로 290,용마산 금호 어울림,102동,1
114,중랑구 용마산로 278,용마산 성원,101동 창고 안쪽,1
115,중랑구 용마산로 252,면목 현대 IPARK,"101동, 102동, 103동, 104동 사이에",3
116,서울 중랑구 용마산로 228,면목 도시개발(SH 면목),"101동, 103동",2
117,중랑구 용마산로 210,용마산 코오롱 하늘채,"104동, 105동",2
118,중랑구 동일로 109가길 5,현대 휴온,정문 왼쪽 (동부시장),1
119,중랑구 망우로 26길 43,면목 풍림,지하 입구 (중랑 세무서),1
120,중랑구 중랑천로 43,면목 신성은하수,101동 창고 안쪽 (중랑전화국),1
121,중랑구 중랑천로 14,일신 강변,관리실 (면묵2동),1
122,중랑구 봉우재로 6길 19,솔루테,쓰레기 선별장 (면묵2동),1
123,중랑구 동일로 101길 63,면목 한신,"1동, 7동, 8동 건물 옆쪽",3
124,중랑구 중랑천로 8,면목 형진 ,지하 입구 (면묵2동),1
125,중랑구 신내로역1길 85,신내 우디안 1단지,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16동 분리 수거장",15
126,중랑구 신내역로 165,신내 우디안 2단지 ,"3, 5, 6, 9, 10, 12, 13, 15, 20, 22동 분리 수거장",10
127,중랑구 신내역로 1길 142,신내 우디안 3단지,건물 안쪽,1
128,중랑구 신내역로 160,신내 우디안 4단지,"401동, 403동 분리 수거장",2
129,중랑구 신내로16길 33,신내 의료안심주택,"1동, 2동 쓰레기 분리장",2
130,중랑구 신내동 63-10,중랑 공영 차고지,안쪽 정비실 앞  (※ 전화오면 방문 수거),1
131,중랑구 송림길 124,개나리 아파트,정문 입구 (양원역) ※수거함 망가짐.,1
132,중랑구 양원역로 53,신일 3차연립,가동 왼쪽 (회색 수거함),1
133,중랑구 양원역로 49,대보 아파트,101동,1
134,중랑구 양원역로 37,경남 아파트,7동 경비실,1
135,중랑구 망우로 81길 27,염광 아파트,쓰레기 선별장(의류 수거함 옆) ,1
136,중랑구 망우로 75길 19,중랑숲 리가,"101동, 102동, 104동, 109동 ",4
137,중랑구 양원역로 18,망우 금호 어울림,"106동, 108동, 112동 ",3
138,중랑구 양원역로 6가길 19,중랑 한진 해모로,후문 경비실 옆 ,1
139,중랑구 망우로 506,망우동 신원,101동 ,1
140,중랑구 망우로 504-10,금호 아파트,105동 어린이 놀이시설과 주차장 입구 사이,1
141,중랑구 용마산로 116길 76,청광 오뜨빌,경비실 ,1
142,중랑구 망우로 74길 58 ,현대 빌라,쓰레기 선별장 ,1
143,중랑구 망우로 76길 51 ,한울네 세창 아파트,아파트 정문 입구 오른쪽 ,1
144,중랑구 겸재로 48길 13,남청 파인빌,경비실 (면목역 2번출구),1
145,중랑구 면목로 23길 20,중곡초등학교,지하주차장 입구 왼쪽 창고 안 (※ 전화오면 방문 수거),1
