"연번 ","행정동","지번 주소","도로명 주소 ","위치"
"1","신도림동","신도림동 390-44","서울특별시 구로구 신도림로 40","동주민센터 "
"2","신도림동","신도림동 402-3","서울특별시 구로구 구로중앙로 218 (신도림동)","신세계마트 "
"3","신도림동","신도림동 400-1","서울특별시 구로구 신도림로 7 (신도림동)",""
"4","신도림동","신도림동 292-221","서울특별시 구로구 신도림로11길 62 (신도림동, 전원연립)",""
"5","신도림동","신도림동 292-218","서울특별시 구로구 신도림로11길 48-5 (신도림동, 유림연립)","유림연립 공중전화박스 옆 "
"6","신도림동","신도림동 271-25","서울특별시 구로구 신도림로19길 144 (신도림동)","삼성쉐르빌 "
"7","신도림동","신도림동 387-3","서울특별시 구로구 신도림로 65 (신도림동)","월드메르디앙 재활용장 "
"8","신도림동","신도림동 412-3","서울특별시 구로구 경인로 584 (신도림동, 신도림팰러티움)","신도림팰러티움 지하주차장 "
"9","신도림동","신도림동 439-76","서울특별시 구로구 경인로 610 (신도림동)","코리아빌딩 지하주차장 "
"10","구로1동 ","구로동 685-213","서울특별시 구로구 구일로4길 57 (구로동)","동주민센터 "
"11","구로1동 ","구로동 1283","서울특별시 구로구 구일로 168 (구로동, 근상프리즘아파트)","근상프리즘 "
"12","구로1동 ","구로동 650-4","서울특별시 구로구 구일로10길 27 (구로동)","sk허브수"
"13","구로1동 ","구로동 685-204","서울특별시 구로구 구일로8길 6 (구로동)","근상프리즘팰리스 "
"14","구로1동 ","구로동 685-468","구로동 685-468","칠성빌라 "
"15","구로2동","구로동 704-57 ","서울특별시 구로구 구로동로 141 (구로동)","동주민센터 청소년수련관 앞 "
"16","구로2동","구로동 708-23","서울특별시 구로구 구로동로17길 40 (구로동)","서울남교회 "
"17","구로2동","구로동 478-1","서울특별시 구로구 벚꽃로 490(구로동)","화원복지관 입구 "
"18","구로2동","구로동 494-20","서울특별시 구로구 구로동로50길 10 (구로동)","자치회관 "
"19","구로2동","구로동 611-26","서울특별시 구로구 구로중앙로 207 (구로동)","성원오퍼스1"
"20","구로2동","구로동 614-2","서울특별시 구로구 경인로53길 106 (구로동, 진영주택)","진영연립"
"21","구로3동","구로동 777-22","서울특별시 구로구 디지털로31길 109 (구로동)","동주민센터 "
"22","구로3동","구로동 186-17","서울특별시 구로구 도림천로 438 (구로동)","하나가디리움"
"23","구로3동","구로동 1131-8","서울특별시 구로구 시흥대로 525 (구로동)","(구)문성길"
"24","구로3동","구로동 266-1","서울특별시 구로구 디지털로27길 82 (구로동)","성당 "
"25","구로4동 ","구로동 317-87","서울특별시 구로구 구로동로28길 94 (구로동)","동주민센터"
"26","구로4동 ","구로동 139-86","서울특별시 구로구 구로중앙로7길 20 (구로동)","구로리공원 "
"27","구로4동 ","구로동 142-2","서울특별시 구로구 구로중앙로8길 8 (구로동, 대흥연립)","대흥연립 다동 앞 "
"28","구로4동 ","구로동 97-2 ","서울특별시 구로구 가마산로 280 (구로동, 구로2차순영웰라이빌)","순영웰라이빌 후문 "
"29","구로4동 ","구로동 733-21","서울특별시 구로구 구로동로22길 5-26 (구로동)","기업은행 주차타워 앞 "
"30","구로4동 ","구로동 98-10","서울특별시 구로구 구로중앙로18길 23 (구로동)","비즈트위트 3차 "
"31","구로5동 ","구로동 109-4","서울특별시 구로구 구로중앙로28길 66 (구로동)","동주민센터,  보건소 지하주차장"
"32","구로5동 ","구로동 107-1","서울특별시 구로구 공원로 27 (구로동, 대림역대성스카이렉스)","대성스카이렉스"
"33","구로5동 ","구로동 46","서울특별시 구로구 공원로 40 (구로동, 신도림쌍용플래티넘노블)","쌍용플래티늄노블"
"34","구로5동 ","구로동 33","서울특별시 구로구 공원로6나길 5-16 (구로동, 우성타운)","우성타운"
"35","구로5동 ","구로동 26 ","서울특별시 구로구 새말로 102 (구로동)","신도림포스빌 "
"36","구로5동 ","구로동 1255 ","서울특별시 구로구 구로중앙로28길 31-31 (구로동, 경남연립)","경남연립 에이동 앞 "
"37","구로5동 ","구로동 110-5","서울특별시 구로구 구로중앙로28길 73 (구로동)","구로하우비"
"38","구로5동 ","구로동 110-4","서울특별시 구로구 공원로 47 (구로동)","도림두산베어스타워"
"39","구로5동 ","구로동 110-1","서울특별시 구로구 공원로 63 (구로동, 희훈타워빌)","희훈타워빌"
"40","구로5동 ","구로동 104-10","서울특별시 구로구 가마산로 279 (구로동)","동남오피스텔 "
"41","구로5동 ","구로동 100-8","서울특별시 구로구 구로중앙로 68 (구로동, 신안타워)",""
"42","구로5동 ","구로동 501","서울특별시 구로구 구로중앙로 134 (구로동, 신구로자이나인스에비뉴)","신구로자이아파트"
"43","구로5동 ","구로동 552-29","서울특별시 구로구 새말로12길 28 (구로동)",""
"44","구로5동 ","구로동 107-8","서울특별시 구로구 가마산로27길 56(구로동)","미주오피스텔 "
"45","구로5동 ","구로동 43-10","서울특별시 구로구 공원로8길 30-9 (구로동)","명지빌딩 "
"46","가리봉동","가리봉동 137-4","서울특별시 구로구 남부순환로 1295 (가리봉동)","삼부르네상스파크빌"
"47","가리봉동","가리봉동 30-24","서울특별시 구로구 남부순환로105길 198 (가리봉동)","가리봉동 자치회관"
"48","고척1동","고척동 82-9","서울특별시 구로구 중앙로3길 18-8 (고척동)","동주민센터 "
"49","고척1동","고척동 52-145","서울특별시 구로구 경인로47나길 19 (고척동)","우성꿈동산아파트 옹벽아래 "
"50","고척1동","고척동 133-17","서울특별시 구로구 경서로 31 (고척동)","금성기계 앞"
"51","고척1동","고척동 97","서울특별시 구로구 경서로 19 (고척동, 대성빌라)","대성빌라 A, B동 사이 "
"52","고척2동","고척동 339-2","서울특별시 구로구 중앙로15길 22 (고척동)","동주민센터 "
"53","고척2동","고척동 162-81","서울특별시 구로구 고척로52가길 21 (고척동, 피렌체빌)",""
"54","고척2동","고척동 271-83","서울특별시 구로구 경인로35나길 19 (고척동)",""
"55","고척2동","고척동 241-135","서울특별시 구로구 고척로27다길 35-9 (고척동)",""
"56","고척2동","고척동 249-113","서울특별시 구로구 고척로31길 78 (고척동)",""
"57","고척2동","고척동 241-2","서울특별시 구로구 고척로27바길 64 (고척동, 홍진연립)",""
"58","고척2동","고척동 241-164","서울특별시 구로구 고척로27마길 26-8(고척동, 수명그린빌) ",""
"59","개봉1동","개봉동 134-8","서울특별시 구로구 경인로33길 51 (개봉동)","동주민센터"
"60","개봉1동","개봉동 179-14","서울특별시 구로구 경인로40길 28 (개봉동, 서능돌빌라)","서능연립"
"61","개봉1동","개봉동 181-1","서울특별시 구로구 개봉로23가길 54 (개봉동, 미주빌라)","미주빌라"
"62","개봉1동","개봉동 154-106","서울특별시 구로구 경인로35길 32 (개봉동)","경인중학교 뒤"
"63","개봉1동","개봉동 416-140","서울특별시 구로구 고척로25길 7 (개봉동)",""
"64","개봉1동","개봉동 10-27","서울특별시 구로구 고척로19길 67 (개봉동)","매봉초등학교 옆 담장"
"65","개봉1동","개봉동 46-16","서울특별시 구로구 고척로21나길 98-2 (개봉동, 거창빌라)","거창빌라"
"66","개봉1동","개봉동 484","서울특별시 구로구 경인로 271 (개봉동, 고운아파트)",""
"67","개봉2동","개봉동 261-6","서울특별시 구로구 개봉로16가길 17 (개봉동)","동주민센터(구청사)"
"68","개봉2동","개봉동 334-18","서울특별시 구로구 개봉로17아길 28 (개봉동, 럭키하이츠빌라)","럭키하이츠 앞 "
"69","개봉2동","개봉동 338-1","서울특별시 구로구 개봉로17길 69 (개봉동, 동아아트빌라)","동아아트빌라 옆 "
"70","개봉2동","개봉동 340-8 ","서울특별시 구로구 개봉로15길 58-2(개봉동)","중앙경로당 옆(개웅 어린이공원 입구) "
"71","개봉2동","개봉동 307-1","서울특별시 구로구 개봉로19길 113(개봉동)","원풍카센타 "
"72","개봉2동","개봉동 305-16","서울특별시 구로구 개봉로17나길 62(개봉동) ","경로당"
"73","개봉3동","개봉동 360-7","서울특별시 구로구 개봉로3길 47-5 (개봉동)","동주민센터"
"74","개봉3동","개봉동 365-12","개봉동 365-12","공영주차장"
"75","개봉3동","개봉동 314-98","서울특별시 구로구 개봉로1길 148 (개봉동)","개명경로당"
"76","개봉3동","개봉동 278-3","서울특별시 구로구 개봉로14길 20 (개봉동)","개봉초등학교 앞 "
"77","오류1동","오류동 31-11","서울특별시 구로구 경인로27길 10 (오류동)","동주민센터"
"78","오류1동","오류동 14-5 ","서울특별시 구로구 고척로6길 12 (오류동, 나비빌라)","나비빌라 후문"
"79","오류1동","오류동 15","서울특별시 구로구 경인로19길 39 (오류동)","오류초등학교 측면"
"80","오류1동","오류동 4-82","서울특별시 구로구 고척로3길 77 (오류동)","동산경로당 밑"
"81","오류1동","오류동 6-11","서울특별시 구로구 경인로15길 22(오류동)","텃골공영주차장"
"82","오류1동","오류동 44-10","서울특별시 구로구 경인로 176 (오류동, 시티월드)","씨티월드"
"83","오류1동","오류동 46-2","서울특별시 구로구 경인로20나길 36 (오류동)","아크로팰리스"
"84","오류1동","오류동 46-1","서울특별시 구로구 경인로20나길 30 (오류동)","이좋은집"
"85","오류1동","오류동 33-33","서울특별시 구로구 경인로 240 (오류동)","예성라온팰리스"
"86","오류1동","오류동 33-179","서울특별시 구로구 경인로 248-29(오류동) ","철도직원자녀기숙사 "
"87","오류2동","오류동 172-76","서울특별시 구로구 오류로 45(오류동) ","동주민센터"
"88","오류2동","오류동 170-13","서울특별시 구로구 오류로 54-9 (오류동, 동산빌라)",""
"89","오류2동","오류동 152-13","서울특별시 구로구 오류로8다길 9 (오류동, 우석빌라)","우석빌라"
"90","오류2동","오류동 150-30","서울특별시 구로구 오류로8길 48 (오류동, 삼영빌라)","삼영빌라"
"91","오류2동","오류동 137-1","서울특별시 구로구 서해안로32길 12 (오류동, 럭키빌라)","럭키빌라"
"92","오류2동","오류동 68-21","서울특별시 구로구 서해안로 2313-10 (오류동, 미래빌라)","미래빌라"
"93","오류2동","오류동 184-2","서울특별시 구로구 서해안로20길 41 (오류동, 서서울가든맨션)","서서울가든빌라 안 분리수거장 "
"94","오류2동","오류동 184-1","서울특별시 구로구 오리로10길 44-6 (오류동, 성신연립)","성신빌라"
"95","오류2동","오류동 215-1","서울특별시 구로구 오리로 1171-6 (오류동, 샤인파크빌3차)",""
"96","오류2동","오류동 108-1","서울특별시 구로구 경인로 20 (오류동, 화랑빌라)","화랑빌라"
"97","오류2동","오류동 73-6","서울특별시 구로구 서해안로 2313-16 (오류동)","삼백리치빌 경비실 뒤"
"98","오류2동","오류동 68-17","서울특별시 구로구 서해안로 2325(오류동, 성지)","성지빌라"
"99","오류2동","오류동 356","서울특별시 구로구 서해안로 2275(오류동, 다청림아파트)","다청림아파트"
"100","오류2동","오류동 279","서울특별시 구로구 서해안로 2220(오류동, 별장양지쉐르빌) ","양지쉐르빌"
"101","오류2동","오류동 137-55","서울특별시 구로구 서해안로32길 18(오류동, 우성빌라)","우성빌라 주변 "
"102","수궁동","궁동 213-42","서울특별시 구로구 오리로15길 32 (궁동)","동주민센터"
"103","수궁동","궁동 187-5","서울특별시 구로구 부일로17길 80 (궁동, 동광빌라)","동광아트빌라 삼거리 앞 "
"104","수궁동","궁동 157","서울특별시 구로구 부일로17길 158-4(궁동) ","궁동 노인정 옆"
"105","수궁동","궁동 112-8","궁동 112-8","호수아파트 앞 "
"106","수궁동","궁동 284-7","서울특별시 구로구 오리로17길 49 (궁동, 동오그린빌라트)","궁동어린이집앞 "
"107","수궁동","궁동 213-21","서울특별시 구로구 오리로 1265(궁동, 우신빌라) ","우신빌라"
"108","수궁동","궁동 197-40","서울특별시 구로구 부일로19길 34 (궁동, 궁동빌라)","궁동빌라"
"109","수궁동","궁동 236-1","서울특별시 구로구 부일로9길 90-10","월드빌라"
"110","수궁동","궁동 240","서울특별시 구로구 부일로9길 108(궁동, 한양빌라)","한양빌라 가동"
"111","수궁동","궁동 192-55","궁동 192-55","연세중앙교회 월드비전센터 후문 "
"112","수궁동","궁동 176-1","서울특별시 구로구 부일로17길 104-2(궁동, 스위트브라운)","스위트브라운 옆 삼거리 "
"113","수궁동","온수동 7-5","서울특별시 구로구 부일로9길 49 (온수동, 두암빌라)","두암빌라"
"114","수궁동","온수동 99-2","서울특별시 구로구 부일로1길 136-5 (온수동, 두양그린빌)","두양그린빌"
"115","수궁동","온수동 85-3","서울특별시 구로구 부일로1다길 16-3 (온수동, 현대빌라)",""
"116","수궁동","온수동 45-31","서울특별시 구로구 경인로3길 97 (온수동, 대흥빌라)",""
"117","수궁동","온수동 45-32","서울특별시 구로구 경인로 15-7 (온수동, 성원빌라)",""
"118","수궁동","온수동 44-1","서울특별시 구로구 경인로 31-10(온수동, 동진빌라) ","동진빌라 "
"119","수궁동","온수동 55-29","서울특별시 구로구 경인로3길 92(온수동, 조양그랜드맨션) ","조양그랜드맨션"
"120","수궁동","궁동 146-3","서울특별시 구로구 오리로22길 51-11(궁동, 양지쉐르빌) ","양지쉐르빌"
"121","수궁동","궁동 110-7","서울특별시 구로구 오리로21길 2(궁동) ","오류고등학교 담장 "
"122","항동","항동 1-5","서울특별시 구로구 연동로 287(항동, 그린빌라) ","그린빌라"
"123","항동","항동 1","서울특별시 구로구 연동로 306(항동, 동삼파크빌라) ","항동동삼파크빌라"
"124","항동","항동 232","서울특별시 구로구 연동로 169(항동, 매화빌라)","매화빌라"
"125","항동","항동 234","서울특별시 구로구 연동로13길 18-41(항동, 유한오크팰리스) ","유한오크팰리스 앞 공터 "
