"연번","행정동","개소(127)","위  치","설 치 장 소 명",""
"1","청운효자동(☎5006)","7 ","자하문로 92","동주민센터",""
"2","","","자하문로36길 16-14","벽산빌리지 5동",""
"3","","","자하문로36길 16-14","벽산빌리지 10동",""
"4","","","자하문로33길 43","청운현대(아)",""
"5","","","자하문로19길 36","자치회관",""
"6","","","필운대로 68","군인(아)",""
"7","","","자하문로24길 51","성주빌라",""
"8","사직동(☎5035)","3 ","사직로9길 1","동주민센터",""
"9","","","경희궁1길 15","세종로자치회관",""
"10","","","사직로8길 34","경희궁의 아침 3단지",""
"11","삼청동(☎5064)","1 ","삼청로 107","동주민센터",""
"12","부암동(☎5094)","11 ","창의문로 145","동주민센터",""
"13","","","백석동길 266","승림힐스빌리지",""
"14","","","세검정로 259","진안빌라",""
"15","","","자하문로42길 21","스카이빌라",""
"16","","","세검정로6길 76-24","힐탑빌라",""
"17","","","자하문로42길 50","삼성중앙빌라",""
"18","","","홍지문길 56","완성빌라 1차",""
"19","","","홍지문길 56","완성빌라 2차",""
"20","","","세검정로6길 104","CU편의점 앞",""
"21","","","자하문로 312-11","세검정교회 담장",""
"22","","","진흥로 480","대아파크빌",""
"23","평창동(☎5142)","28 ","평창24길18","금강하이츠",""
"24","","","평창11길9-1","럭키평창빌라",""
"25","","","평창11길 21-28","현대 단독",""
"26","","","평창14길2","신한빌라",""
"27","","","평창문화로102-19","귀빈빌라",""
"28","","","평창14길6","현대평창빌라",""
"29","","","평창14길16","현대하이츠빌라",""
"30","","","평창문화로119","일성빌라트",""
"31","","","평창문화로 42","평창아파트",""
"32","","","평창12길8-22","금강파크",""
"33","","","비봉1길22-4","삼진파크1차",""
"34","","","비봉5길39","건덕빌라 5동",""
"35","","","비봉2길32","동성빌라",""
"36","","","비봉길15","구기현대빌라",""
"37","","","진흥로438-5","동진빌라",""
"38","","","진흥로22가길34","삼성운정빌라",""
"39","","","평창문화로172","삼성아파트",""
"40","","","평창문화로140","롯데아파트",""
"41","","","홍지문길64","동익빌라1동",""
"42","","","홍지문길64","동익빌라9동",""
"43","","","홍지문길69","청구빌라 경비실",""
"44","","","평창문화로118","평창힐스",""
"45","","","평창문화로19","갑을씨티텔",""
"46","","","평창12길16-6","삼호빌라",""
"47","","","비봉4길39","영빈빌라 ",""
"48","","","평창문화로 65","동주민센터",""
"49","","","비봉길 14","현대구기빌라",""
"50","","","평창문화로 156","롯데캐슬 로잔",""
"51","무악동(☎5171)","20 ","통일로14길 36","동주민센터",""
"52","","","통일로 246-20","무악현대 관리소(104동)",""
"53","","","통일로 246-20","무악현대 101동",""
"54","","","통일로 246-20","무악현대 102동",""
"55","","","통일로 246-20","무악현대 107동",""
"56","","","통일로 246-20","무악현대 108동",""
"57","","","통일로 246-20","무악현대 109동",""
"58","","","통일로 246-20","무악현대 111동",""
"59","","","통일로 246-10","무악현대 112동",""
"60","","","통일로 246-10","무악현대 113동",""
"61","","","통일로 246-10","무악현대 114동",""
"62","","","통일로 246-20","무악현대프라자",""
"63","","","통일로18길 9","인왕산아이파크 101동 앞",""
"64","","","통일로18길 9","인왕산아이파크 103동 앞",""
"65","","","통일로18길 9","인왕산아이파크 105동 앞",""
"66","","","통일로18길 9","인왕산아이파크 107동 앞",""
"67","","","통일로18길 9","인왕산아이파크 108동 앞",""
"68","","","통일로18길 9","인왕산아이파크 113동 앞",""
"69","","","통일로18길 9","인왕산아이파크 117동 앞",""
"70","","","통일로18길 34","인왕산아이파크 203동 앞",""
"71","교남동(☎5185)","6","송월길 154","동주민센터",""
"72","","","송월1길 44-11","구세군 영천교회 앞",""
"73","","","사직로1길 28-2","방범초소 옆",""
"74","","","사직로1가길 16","할머니슈퍼 건너편",""
"75","","","인왕산로1길 58","행촌동 공영주차장 인근",""
"76","","","통일로8길 16","서대문장로교회 지하주차장",""
"77","가회동(☎5214)","1 ","북촌로 35","동주민센터",""
"78","종로1~4가동(☎5244)","4 ","삼일대로30길 47","동주민센터",""
"79","","","인사동길 7-1","승동교회",""
"80","","","종로 183","효성주얼리",""
"81","","","율곡로6길 36","월드오피스텔",""
"82","종로5,6가동(☎5281)","4 ","종로35길 19","동주민센터",""
"83","","","율곡로22나길 21","충신경로당",""
"84","","","충신길 27","중앙성결교회 앞",""
"85","","","김상옥로 37","연동교회(주차장)",""
"86","이화동(☎5302)","1 ","이화장길33","동주민센터",""
"87","혜화동(☎5356)","12 ","혜화로 12","동주민센터",""
"88","","","창경궁로 288","혜화동성당",""
"89","","","창경궁로 265","아남(아) 101동(103방향)",""
"90","","","창경궁로 265","아남(아)  101동(102방향)",""
"91","","","혜화로3길 33","아남(아)  201동",""
"92","","","창경궁로 265","아남(아)  102~103동 사이",""
"93","","","혜화로3길 5","아남(아) 301동 뒤편",""
"94","","","성균관로5길 25-13","유림경로당",""
"95","","","혜화로 32","혜화초등학교 경비실 뒤",""
"96","","","창경궁로26길 40","",""
"97","","","혜화로9길 24-9","해명경로당",""
"98","","","성균관로13길 30","명륜국제주차장",""
"99","창신1동(☎5394)","6 ","지봉로 8-6","동주민센터",""
"100","","","지봉로5길 7","두산아파트 101동",""
"101","","","지봉로5길 7","두산아파트 102동",""
"102","","","지봉로5길 7","두산아파트 103동",""
"103","","","창신5라길 1","주택가",""
"104","","","종로44길 43","동신교회",""
"105","창신2동(☎5424)","3 ","창신길 62","동주민센터",""
"106","","","창신길 20","동대문맨션(아)",""
"107","","","창신4나길","주택가",""
"108","창신3동(☎5454)","12","지봉로 87","동주민센터",""
"109","","","동망산길 19","쌍용아파트1단지 101동",""
"110","","","동망산길 19","쌍용아파트1단지 102동",""
"111","","","동망산길 19","쌍용아파트1단지 104동",""
"112","","","동망산길 19","쌍용아파트1단지 105동",""
"113","","","낙산길 196","쌍용아파트2단지 202동",""
"114","","","낙산길 196","쌍용아파트2단지 204동",""
"115","","","낙산길 196","쌍용아파트2단지 206동",""
"116","","","낙산길 196","쌍용아파트2단지 207동",""
"117","","","지봉로13길 82","종로사회복지관",""
"118","","","지봉로 87","이수아파트",""
"119","","","지봉로13길 20-8","창신경찰기동대",""
"120","숭인1동(☎5489)","5 ","지봉로 86","동주민센터",""
"121","","","동망산길 47","종로센트레빌 102동 앞",""
"122","","","동망산길 47","종로센트레빌 104동 앞",""
"123","","","동망산길 47","종로센트레빌 105동 앞",""
"124","","","종로 347","롯데캐슬아파트",""
"125","숭인2동(☎5514)","3 ","종로65길 10","동주민센터",""
"126","","","숭인동길 21","종로청계힐스테이트 105동",""
"127","","","숭인동길 21","종로청계힐스테이트 106동",""
